,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,la huacana,18.9667,18.9667,26.07,53,73,2.3,MX,1619747345
1,aksarayskiy,46.7924,46.7924,13.0,50,0,5.0,RU,1619747345
2,wanning,18.8003,18.8003,27.22,72,75,1.18,CN,1619747047
3,touros,-5.1989,-5.1989,24.0,94,20,3.09,BR,1619747069
4,comodoro rivadavia,-45.8667,-45.8667,19.0,45,0,2.06,AR,1619747102
5,avarua,-21.2078,-21.2078,29.0,79,40,4.12,CK,1619747286
6,bredasdorp,-34.5322,-34.5322,9.0,93,5,2.57,ZA,1619747346
7,ribeira grande,38.5167,38.5167,14.26,64,100,3.43,PT,1619747088
8,alta floresta,-9.8756,-9.8756,21.22,96,73,0.89,BR,1619747347
9,albany,42.6001,42.6001,13.33,90,100,0.45,US,1619747149
10,tuatapere,-46.1333,-46.1333,12.78,70,57,6.71,NZ,1619747211
11,aykhal,66.0,66.0,-1.71,91,69,3.14,RU,1619747348
12,kailua,21.4022,21.4022,29.0,65,40,5.66,US,1619747348
13,busselton,-33.65,-33.65,13.33,92,9,0.45,AU,1619747208
14,clyde river,70.4692,70.4692,-5.0,100,75,3.09,CA,1619747337
15,rikitea,-23.1203,-23.1203,25.03,63,77,5.74,PF,1619747349
16,ushuaia,-54.8,-54.8,4.0,70,75,1.61,AR,1619747282
17,deputatskiy,69.3,69.3,-5.28,91,99,2.03,RU,1619747344
18,saskylakh,71.9167,71.9167,0.81,94,100,3.76,RU,1619747350
19,umm kaddadah,13.6017,13.6017,24.14,72,100,3.34,SD,1619747350
20,estelle,29.8458,29.8458,26.67,94,75,2.57,US,1619747351
21,atuona,-9.8,-9.8,26.3,69,13,1.98,PF,1619747351
22,hammerfest,70.6634,70.6634,-3.0,74,75,8.23,NO,1619747352
23,dingle,10.9995,10.9995,31.17,42,18,2.57,PH,1619747352
24,jamestown,42.097,42.097,8.89,93,90,4.63,US,1619747250
25,carnarvon,-24.8667,-24.8667,24.0,69,40,7.2,AU,1619747353
26,new norfolk,-42.7826,-42.7826,18.89,70,8,2.24,AU,1619747309
27,puerto ayora,-0.7393,-0.7393,23.91,87,16,3.46,EC,1619747353
28,novo cruzeiro,-17.4681,-17.4681,17.31,96,90,2.83,BR,1619747354
29,bluff,-46.6,-46.6,12.78,70,29,6.71,NZ,1619747314
